trades,net_r,pf,win_rate,avg_r,tag,month
55,-19.1208,0.6088408097802073,0.3636,-0.3477,bos_short_rr2.0_sl0.8_h6_b0.1,2026-04
97,-34.0126,0.595899663414072,0.3505,-0.3506,bos_short_rr2.0_sl0.8_h6_b0.1,2026-05
99,-27.5902,0.6637772927626728,0.3838,-0.2787,bos_short_rr2.0_sl0.8_h6_b0.1,2026-06
5,2.718,2.9087078651685396,0.8,0.5436,bos_short_rr2.0_sl0.8_h6_b0.1,2026-07
50,-18.5432,0.5868556316297225,0.36,-0.3709,bos_short_rr2.0_sl0.8_h6_b0.2,2026-04
95,-33.2076,0.5998915616923605,0.3474,-0.3496,bos_short_rr2.0_sl0.8_h6_b0.2,2026-05
94,-34.9848,0.5721916240302873,0.3511,-0.3722,bos_short_rr2.0_sl0.8_h6_b0.2,2026-06
5,2.6987,2.8951544943820227,0.8,0.5397,bos_short_rr2.0_sl0.8_h6_b0.2,2026-07
48,-15.3893,0.6249704519811184,0.3542,-0.3206,bos_short_rr2.0_sl1.0_h12_b0.1,2026-04
87,-27.2876,0.6362283870795729,0.3333,-0.3137,bos_short_rr2.0_sl1.0_h12_b0.1,2026-05
88,-3.9009,0.9393895606290843,0.4205,-0.0443,bos_short_rr2.0_sl1.0_h12_b0.1,2026-06
4,-0.0688,0.9714167012879102,0.5,-0.0172,bos_short_rr2.0_sl1.0_h12_b0.1,2026-07
47,-17.3473,0.5803424551489229,0.3404,-0.3691,bos_short_rr2.0_sl1.0_h12_b0.2,2026-04
87,-27.7625,0.6314544423927285,0.3333,-0.3191,bos_short_rr2.0_sl1.0_h12_b0.2,2026-05
82,-10.3423,0.8322512103935705,0.4024,-0.1261,bos_short_rr2.0_sl1.0_h12_b0.2,2026-06
4,-0.0688,0.9714167012879102,0.5,-0.0172,bos_short_rr2.0_sl1.0_h12_b0.2,2026-07
49,-18.4474,0.5504581343210839,0.3469,-0.3765,bos_short_rr2.0_sl1.0_h6_b0.1,2026-04
92,-24.5017,0.6620595009861661,0.3696,-0.2663,bos_short_rr2.0_sl1.0_h6_b0.1,2026-05
93,-17.6653,0.7423771773243264,0.3871,-0.1899,bos_short_rr2.0_sl1.0_h6_b0.1,2026-06
5,2.7744,3.0716845878136203,0.8,0.5549,bos_short_rr2.0_sl1.0_h6_b0.1,2026-07
48,-18.4815,0.5431161498299185,0.3333,-0.385,bos_short_rr2.0_sl1.0_h6_b0.2,2026-04
91,-23.8591,0.6695868572037905,0.3626,-0.2622,bos_short_rr2.0_sl1.0_h6_b0.2,2026-05
87,-22.8052,0.650180315471543,0.3678,-0.2621,bos_short_rr2.0_sl1.0_h6_b0.2,2026-06
5,2.759,3.0601851851851856,0.8,0.5518,bos_short_rr2.0_sl1.0_h6_b0.2,2026-07
17,-7.5062,0.39590358536879805,0.4706,-0.4415,choch_long_rr1.0_sl0.8_h12_b0.1,2026-04
29,-18.1228,0.2701895120045747,0.3793,-0.6249,choch_long_rr1.0_sl0.8_h12_b0.1,2026-05
44,-28.4604,0.2695419173356877,0.3636,-0.6468,choch_long_rr1.0_sl0.8_h12_b0.1,2026-06
5,1.8547,2.7398686679174484,0.8,0.3709,choch_long_rr1.0_sl0.8_h12_b0.1,2026-07
16,-12.2098,0.1891809331544765,0.3125,-0.7631,choch_long_rr1.0_sl0.8_h12_b0.2,2026-04
28,-16.6969,0.2866493209093278,0.3929,-0.5963,choch_long_rr1.0_sl0.8_h12_b0.2,2026-05
38,-24.6564,0.26105876429547586,0.3684,-0.6489,choch_long_rr1.0_sl0.8_h12_b0.2,2026-06
5,1.8547,2.7398686679174484,0.8,0.3709,choch_long_rr1.0_sl0.8_h12_b0.2,2026-07
17,-7.9825,0.351780421454383,0.4118,-0.4696,choch_long_rr1.0_sl0.8_h6_b0.1,2026-04
29,-16.4864,0.2963040425468344,0.4138,-0.5685,choch_long_rr1.0_sl0.8_h6_b0.1,2026-05
44,-28.2058,0.27131482543570035,0.3636,-0.641,choch_long_rr1.0_sl0.8_h6_b0.1,2026-06
5,0.8267,1.58614577424844,0.6,0.1653,choch_long_rr1.0_sl0.8_h6_b0.1,2026-07
16,-11.3613,0.20047712542487386,0.3125,-0.7101,choch_long_rr1.0_sl0.8_h6_b0.2,2026-04
28,-15.0605,0.31550649020106897,0.4286,-0.5379,choch_long_rr1.0_sl0.8_h6_b0.2,2026-05
38,-24.4018,0.26306602320566796,0.3684,-0.6422,choch_long_rr1.0_sl0.8_h6_b0.2,2026-06
5,0.8267,1.58614577424844,0.6,0.1653,choch_long_rr1.0_sl0.8_h6_b0.2,2026-07
17,-8.0471,0.3787798080857207,0.4118,-0.4734,choch_long_rr1.0_sl1.0_h12_b0.1,2026-04
28,-13.6992,0.3515662719036665,0.3929,-0.4893,choch_long_rr1.0_sl1.0_h12_b0.1,2026-05
41,-21.0358,0.3510853906450031,0.3902,-0.5131,choch_long_rr1.0_sl1.0_h12_b0.1,2026-06
4,1.3368,2.269756838905775,0.75,0.3342,choch_long_rr1.0_sl1.0_h12_b0.1,2026-07
16,-10.7678,0.2347903949060881,0.3125,-0.673,choch_long_rr1.0_sl1.0_h12_b0.2,2026-04
27,-12.3585,0.37538853425924523,0.4074,-0.4577,choch_long_rr1.0_sl1.0_h12_b0.2,2026-05
36,-20.929,0.29887741325999057,0.3611,-0.5814,choch_long_rr1.0_sl1.0_h12_b0.2,2026-06
4,1.3368,2.269756838905775,0.75,0.3342,choch_long_rr1.0_sl1.0_h12_b0.2,2026-07
17,-8.6282,0.32932241991776073,0.3529,-0.5075,choch_long_rr1.0_sl1.0_h6_b0.1,2026-04
28,-12.4848,0.3629196454541279,0.4286,-0.4459,choch_long_rr1.0_sl1.0_h6_b0.1,2026-05
41,-21.1537,0.32408519829756777,0.3659,-0.5159,choch_long_rr1.0_sl1.0_h6_b0.1,2026-06
4,0.2558,1.183342889908257,0.5,0.064,choch_long_rr1.0_sl1.0_h6_b0.1,2026-07
16,-10.9526,0.19482161629676462,0.25,-0.6845,choch_long_rr1.0_sl1.0_h6_b0.2,2026-04
27,-11.1441,0.3895717619219772,0.4444,-0.4127,choch_long_rr1.0_sl1.0_h6_b0.2,2026-05
36,-21.0469,0.267429394852803,0.3333,-0.5846,choch_long_rr1.0_sl1.0_h6_b0.2,2026-06
4,0.2558,1.183342889908257,0.5,0.064,choch_long_rr1.0_sl1.0_h6_b0.2,2026-07
16,-12.0847,0.26921053427266955,0.25,-0.7553,choch_long_rr1.5_sl0.8_h12_b0.1,2026-04
27,-16.3322,0.35434110549744224,0.2963,-0.6049,choch_long_rr1.5_sl0.8_h12_b0.1,2026-05
42,-30.3979,0.29904973170658594,0.2619,-0.7238,choch_long_rr1.5_sl0.8_h12_b0.1,2026-06
3,0.3738,1.3499999999999999,0.6667,0.1246,choch_long_rr1.5_sl0.8_h12_b0.1,2026-07
15,-15.7354,0.12446375811665732,0.1333,-1.049,choch_long_rr1.5_sl0.8_h12_b0.2,2026-04
26,-14.9063,0.3755084941033537,0.3077,-0.5733,choch_long_rr1.5_sl0.8_h12_b0.2,2026-05
36,-25.0939,0.30967406494492555,0.2778,-0.6971,choch_long_rr1.5_sl0.8_h12_b0.2,2026-06
3,0.3738,1.3499999999999999,0.6667,0.1246,choch_long_rr1.5_sl0.8_h12_b0.2,2026-07
16,-12.7267,0.16225414044603598,0.1875,-0.7954,choch_long_rr1.5_sl0.8_h6_b0.1,2026-04
27,-17.4425,0.3033366350869905,0.2963,-0.646,choch_long_rr1.5_sl0.8_h6_b0.1,2026-05
42,-30.1348,0.281156073776514,0.2619,-0.7175,choch_long_rr1.5_sl0.8_h6_b0.1,2026-06
3,-0.3641,0.7566013770973995,0.3333,-0.1214,choch_long_rr1.5_sl0.8_h6_b0.1,2026-07
15,-14.5256,0.1334466815809098,0.1333,-0.9684,choch_long_rr1.5_sl0.8_h6_b0.2,2026-04
26,-16.0166,0.3216553091104683,0.3077,-0.616,choch_long_rr1.5_sl0.8_h6_b0.2,2026-05
36,-24.8308,0.2886237906564333,0.2778,-0.6897,choch_long_rr1.5_sl0.8_h6_b0.2,2026-06
3,-0.3641,0.7566013770973995,0.3333,-0.1214,choch_long_rr1.5_sl0.8_h6_b0.2,2026-07
16,-8.1676,0.41536391227166003,0.3125,-0.5105,choch_long_rr1.5_sl1.0_h12_b0.1,2026-04
24,-13.4048,0.36570847233065984,0.2917,-0.5585,choch_long_rr1.5_sl1.0_h12_b0.1,2026-05
40,-18.2391,0.46285126960660167,0.35,-0.456,choch_long_rr1.5_sl1.0_h12_b0.1,2026-06
