side,price,born_ts,max_size,dist_bps,fate,life_ms,eaten_frac,fwd_bps,fwd_10s,fwd_30s,fwd_60s,fwd_300s,fwd_900s
1,1883.16,1786492810999,59.12,10.764777647536532,ушла,1500,0.0,-2.8706073726791903,-3.986954684273014,-2.5516509979350843,-2.8706073726791903,-3.5616795179505,0.10631879157951829
1,1881.74,1786492803346,43.67,1.8337457046501522,съедена,9353,2.383,-4.889988545733193,-4.145859853992295,-4.464772150453156,-4.889988545733193,-4.943140595142781,-0.6909766423324193
-1,1880.83,1786492810599,92.62,0.02658393745389223,съедена,2100,1.041,1.2760289977598038,2.3925543707969954,0.95702174831791,1.2760289977598038,1.9672113715440975,-1.701371997013812
1,1883.04,1786492810698,58.87,11.670286493571579,ушла,2001,0.0,-1.3291898056455587,-2.4457092423857407,-1.010184252289159,-1.3291898056455587,-2.0203685045794284,1.6481953590030685
1,1883.07,1786492810698,72.36,11.82978927024894,ушла,2001,0.0,-1.3291898056455587,-2.4457092423857407,-1.010184252289159,-1.3291898056455587,-2.0203685045794284,1.6481953590030685
-1,1880.84,1786492810698,108.38,0.026583796112288713,съедена,2001,1.001,1.3291898056455587,2.4457092423857407,1.010184252289159,1.3291898056455587,2.0203685045794284,-1.6481953590030685
-1,1880.81,1786492810999,67.57,1.7276803631864424,съедена,1700,1.0,2.8706073726791903,3.986954684273014,2.5516509979350843,2.8706073726791903,3.5616795179505,-0.10631879157951829
-1,1880.82,1786492810999,59.6,1.6745209673961834,съедена,1700,0.999,2.8706073726791903,3.986954684273014,2.5516509979350843,2.8706073726791903,3.5616795179505,-0.10631879157951829
-1,1880.7,1786492803347,60.52,3.2158528255641214,съедена,9452,2.681,4.41183114912258,3.667666858909735,3.98659441185778,4.41183114912258,4.464985741279293,0.21261836863240013
1,1881.65,1786492809599,73.82,4.599143442765848,съедена,3200,1.135,-1.6482479390256266,-1.2760629205343932,-0.691200748621501,-1.6482479390256266,-1.701417227379931,2.073602245873385
1,1883.01,1786492810599,83.06,11.56401279219046,ушла,2200,0.0,-1.2760289977598038,-2.3925543707969954,-0.95702174831791,-1.2760289977598038,-1.9672113715440975,1.701371997013812
1,1883.02,1786492810599,73.12,11.617180667097037,ушла,2200,0.0,-1.2760289977598038,-2.3925543707969954,-0.95702174831791,-1.2760289977598038,-1.9672113715440975,1.701371997013812
1,1882.89,1786492803343,85.15,7.627075853529172,ушла,9557,0.38,-5.20873472923844,-4.4646297679196145,-4.783531894199111,-5.20873472923844,-5.261885083617246,-1.0098567332195163
1,1882.98,1786492803343,77.08,8.105429042948627,ушла,9557,1.0,-5.20873472923844,-4.4646297679196145,-4.783531894199111,-5.20873472923844,-5.261885083617246,-1.0098567332195163
-1,1880.76,1786492803343,72.97,3.693949629408816,съедена,9557,1.383,5.20873472923844,4.4646297679196145,4.783531894199111,5.20873472923844,5.261885083617246,1.0098567332195163
-1,1880.78,1786492803345,87.22,3.268851038723974,съедена,9555,2.881,4.889988545733193,4.145859853992295,4.464772150453156,4.889988545733193,4.943140595142781,0.6909766423324193
-1,1880.62,1786492803345,78.69,4.119283829286731,съедена,9555,1.984,4.889988545733193,4.145859853992295,4.464772150453156,4.889988545733193,4.943140595142781,0.6909766423324193
-1,1880.69,1786492803346,82.29,3.2690074177221757,съедена,9554,2.59,4.41183114912258,3.667666858909735,3.98659441185778,4.41183114912258,4.464985741279293,0.21261836863240013
-1,1880.68,1786492804499,47.44,2.843906730491102,съедена,8401,2.976,3.9336280010537905,2.39207108172268,3.508370919859116,3.9336280010537905,3.986785136201876,0.21262854059678205
-1,1880.73,1786492806101,58.58,2.312396839192444,съедена,6799,2.704,3.667939813891685,3.0300372375635654,3.2426714296729386,3.667939813891685,3.7210983619184734,-0.053158548027898433
-1,1880.74,1786492806398,58.59,2.046647617781864,съедена,6502,1.116,3.4553790949565233,2.817462954349814,3.030101667885754,3.4553790949565233,3.5085387733391205,-0.2657983919207574
-1,1880.72,1786492806700,47.5,1.0633094443147262,съедена,6200,1.359,2.3658635136003525,1.7278778470120049,1.9405397358751575,2.3658635136003525,2.4190289858150305,-1.355719541502598
-1,1880.64,1786492807799,59.71,1.408896249412384,съедена,5101,1.433,2.286133536782975,1.7013086785355735,0.6379907544529217,2.286133536782975,2.339299432986275,-1.4354791975135228
1,1882.81,1786492803343,52.69,7.201873018488448,ушла,9655,0.015,-5.20873472923844,-4.4646297679196145,-4.783531894199111,-5.20873472923844,-5.261885083617246,-1.0098567332195163
1,1882.84,1786492803346,72.97,7.680471139765634,ушла,9652,1.002,-4.889988545733193,-4.145859853992295,-4.464772150453156,-4.889988545733193,-4.943140595142781,-0.6909766423324193
1,1882.88,1786492803498,63.28,8.371848264902676,ушла,9500,0.53,-4.41183114912258,-3.667666858909735,-3.98659441185778,-4.41183114912258,-4.464985741279293,-0.6910096980539127
1,1882.85,1786492804099,58.8,8.691191596918818,ушла,8899,0.919,-3.9336280010537905,-2.39207108172268,-3.508370919859116,-3.9336280010537905,-3.986785136201876,-0.21262854059678205
1,1882.8,1786492806598,61.22,9.276709080809006,ушла,6400,1.104,-3.0833760841653124,-2.4454362046832934,-2.6580828311772997,-3.0833760841653124,-3.1365377407877038,0.6379398794842395
-1,1878.52,1786492812900,93.09,11.139972828036575,ушла,798,0.0,0.10634818928934031,0.5317409464455913,-1.435700555405539,0.10634818928934031,-2.0737896911393605,-2.8714011108088577
1,1881.74,1786492812998,68.28,5.982085647515453,ушла,700,0.0,-0.10634818928934031,-0.5317409464455913,1.435700555405539,-0.10634818928934031,2.0737896911393605,2.8714011108088577
-1,1878.63,1786492812900,58.54,10.555057786945616,ушла,999,0.0,0.10634818928934031,0.5317409464455913,-1.435700555405539,0.10634818928934031,-2.0737896911393605,-2.8714011108088577
-1,1878.57,1786492812998,48.0,10.874102354813962,ушла,901,0.0,0.10634818928934031,0.5317409464455913,-1.435700555405539,0.10634818928934031,-2.0737896911393605,-2.8714011108088577
1,1880.79,1786492812699,117.51,0.02658464417841029,съедена,1300,0.999,-1.0102164787573198,-1.4355707856028577,0.5316928835585877,-1.0102164787573198,1.1697243438257843,1.9672636691603351
-1,1878.7,1786492812699,92.35,11.085796622154096,ушла,1998,0.0,1.0102164787573198,1.4355707856028577,-0.5316928835585877,1.0102164787573198,-1.1697243438257843,-1.9672636691603351
1,1880.87,1786492812599,61.33,0.02658351343721713,съедена,2300,1.0,-1.4355097255780436,-1.8608459405644595,0.10633405374882443,-1.4355097255780436,0.7443383762284483,1.541843779326868
-1,1878.7,1786492814798,92.35,10.979574800678593,ушла,101,0.0,0.9038875138578373,0.7975478063448893,-0.6380382450776878,0.9038875138578373,-1.2760764901531552,-2.0736242964991547
-1,1879.55,1786492803343,92.86,10.125142509387537,ушла,11657,0.376,5.20873472923844,4.4646297679196145,4.783531894199111,5.20873472923844,5.261885083617246,1.0098567332195163
-1,1878.77,1786492812599,57.69,11.138492129949785,ушла,2401,0.0,1.4355097255780436,1.8608459405644595,-0.10633405374882443,1.4355097255780436,-0.7443383762284483,-1.541843779326868
1,1882.89,1786492813899,62.64,11.298593923218625,ушла,1101,0.0,-0.9038875138578373,-1.3292463439074087,0.6380382450776878,-0.9038875138578373,1.2760764901531552,2.0736242964991547
