ts,o,h,l,c,v
1614188700,1800.3275000000,1800.7700000000,1798.9485000000,1799.8675000000,0.62
1614189000,1799.8625000000,1799.9100000000,1798.6150000000,1798.9825000000,0.62
1614189300,1799.0185000000,1799.0285000000,1798.2725000000,1798.3675000000,0.49
1614189600,1798.3725000000,1798.4035000000,1795.5015000000,1795.5015000000,0.84
1614189900,1795.5750000000,1797.6425000000,1795.2550000000,1797.6300000000,1.03
1614190200,1797.6350000000,1799.1775000000,1797.2325000000,1799.1775000000,0.72
1614190500,1799.1725000000,1799.2985000000,1798.0175000000,1798.3500000000,0.69
1614190800,1798.4250000000,1798.8885000000,1797.3200000000,1798.7485000000,0.53
1614191100,1798.7600000000,1798.9425000000,1798.4935000000,1798.7200000000,0.53
1614191400,1798.7135000000,1799.4085000000,1797.6475000000,1798.2235000000,0.57
1614191700,1798.2250000000,1799.9435000000,1797.8435000000,1798.2375000000,0.73
1614192000,1798.2075000000,1798.4885000000,1796.8550000000,1798.4625000000,0.56
1614192300,1798.4500000000,1798.4500000000,1797.1975000000,1797.5925000000,0.64
1614192600,1797.5975000000,1798.4575000000,1797.1885000000,1798.3925000000,0.59
1614192900,1798.3875000000,1798.6085000000,1797.2925000000,1797.7075000000,0.53
1614193200,1797.6975000000,1797.8935000000,1796.7125000000,1797.5475000000,0.74
1614193500,1797.5800000000,1798.2285000000,1796.9325000000,1798.1935000000,0.73
1614193800,1798.1835000000,1798.5375000000,1797.3575000000,1797.8035000000,0.64
1614194100,1797.8675000000,1798.4925000000,1797.4025000000,1798.4815000000,0.59
1614194400,1798.4835000000,1799.3825000000,1798.4475000000,1799.3585000000,0.74
1614194700,1799.3575000000,1799.3820000000,1798.0915000000,1798.3815000000,0.69
1614195000,1798.4050000000,1799.3400000000,1798.2965000000,1799.3400000000,0.45
1614195300,1799.3300000000,1799.3350000000,1798.0450000000,1798.4200000000,0.46
1614195600,1798.4350000000,1798.6875000000,1798.0075000000,1798.2075000000,0.53
1614195900,1798.2050000000,1798.2250000000,1797.0840000000,1797.4285000000,0.62
1614196200,1797.4335000000,1797.6300000000,1797.0375000000,1797.3000000000,0.66
1614196500,1797.2950000000,1797.5800000000,1796.9125000000,1797.3335000000,0.63
1614196800,1797.3285000000,1798.1535000000,1797.1865000000,1797.9600000000,0.83
1614197100,1797.9465000000,1798.3350000000,1797.3275000000,1797.4965000000,0.66
1614197400,1797.6065000000,1798.3700000000,1797.5800000000,1797.9550000000,0.41
1614197700,1797.9450000000,1799.9185000000,1797.8250000000,1799.0675000000,0.54
1614198000,1799.0775000000,1799.5050000000,1798.9675000000,1799.2125000000,0.55
1614198300,1799.2285000000,1800.3900000000,1799.1625000000,1799.8300000000,0.54
1614198600,1799.8185000000,1800.6150000000,1799.6700000000,1800.5800000000,0.37
1614198900,1800.5900000000,1800.8685000000,1800.2300000000,1800.7225000000,0.52
1614199200,1800.7125000000,1801.5985000000,1800.6875000000,1801.1885000000,0.42
1614199500,1801.1500000000,1801.8285000000,1801.0185000000,1801.6485000000,0.34
1614199800,1801.6535000000,1801.7350000000,1801.1075000000,1801.1385000000,0.57
1614200100,1801.1375000000,1803.4450000000,1801.1175000000,1802.7130000000,0.69
1614200400,1802.7700000000,1803.4175000000,1802.7000000000,1802.8585000000,0.21
1614200700,1802.9835000000,1803.2550000000,1802.7550000000,1803.1950000000,0.19
1614201000,1803.2900000000,1803.7150000000,1803.0075000000,1803.6850000000,0.23
1614201300,1803.6700000000,1803.7650000000,1803.4750000000,1803.4900000000,0.07
1614201600,1803.5250000000,1803.7100000000,1803.4465000000,1803.5515000000,0.07
1614201900,1803.5715000000,1803.7165000000,1802.3950000000,1802.4515000000,0.07
1614202200,1802.4565000000,1803.5175000000,1802.4565000000,1803.5115000000,0.08
1614202500,1803.5065000000,1803.8565000000,1803.4265000000,1803.5665000000,0.09
1614202800,1803.5915000000,1803.9565000000,1803.5775000000,1803.9015000000,0.07
1614203100,1803.8765000000,1804.7715000000,1803.7225000000,1804.7615000000,0.27
1614203400,1804.7700000000,1805.4300000000,1804.5315000000,1805.3815000000,0.22
1614203700,1805.4015000000,1805.7215000000,1804.5350000000,1804.5350000000,0.21
1614207600,1805.5000000000,1805.7000000000,1803.7090000000,1803.8265000000,0.23
1614207900,1803.8215000000,1803.8650000000,1802.9690000000,1803.8250000000,0.21
1614208200,1803.7655000000,1804.3000000000,1803.6215000000,1803.8100000000,0.23
1614208500,1803.7950000000,1804.1000000000,1803.7165000000,1803.9815000000,0.07
1614208800,1803.9850000000,1803.9850000000,1803.3400000000,1803.4335000000,0.09
1614209100,1803.4835000000,1803.4985000000,1803.2100000000,1803.4785000000,0.07
1614209400,1803.4885000000,1804.0650000000,1803.1925000000,1803.5250000000,0.13
1614209700,1803.5100000000,1803.5500000000,1802.8500000000,1803.1785000000,0.14
1614210000,1803.1885000000,1803.3140000000,1803.0900000000,1803.2350000000,0.14
1614210300,1803.2235000000,1803.9535000000,1803.1550000000,1803.7700000000,0.27
1614210600,1803.7600000000,1803.8435000000,1803.0650000000,1803.3350000000,0.18
1614210900,1803.3300000000,1803.5850000000,1802.9550000000,1803.2050000000,0.15
