trades,net_r,pf,win_rate,avg_r,tag,symbols,positive_symbols,years,positive_years,months,positive_months,worst_month_r,top_symbol_frac
104,-28.5961,0.5626671764480979,0.5192,-0.275,bos_short_rr1.0_sl1.0_h6_b0.2_cd20,4,1,1,0,4,0,-11.9431,0.3077
57,-29.1235,0.3782675988685489,0.2982,-0.5109,choch_long_rr1.5_sl1.0_h6_b0.2_cd20,4,0,1,0,4,1,-13.8854,0.3158
134,-29.1533,0.7059110731366305,0.4328,-0.2176,bos_short_rr1.5_sl1.0_h12_b0.1_cd10,4,1,1,0,4,0,-13.4633,0.3284
116,-29.2337,0.6395418087211704,0.4138,-0.252,bos_long_rr1.5_sl1.0_h12_b0.2_cd10,4,0,1,0,3,0,-14.5632,0.3276
128,-29.4374,0.7287960391880114,0.3906,-0.23,bos_short_rr2.0_sl0.8_h12_b0.2_cd10,4,1,1,0,4,1,-12.629,0.3203
61,-29.5056,0.41696372819462996,0.2787,-0.4837,choch_long_rr2.0_sl1.0_h6_b0.2_cd10,4,0,1,0,4,1,-13.7437,0.3115
63,-29.5267,0.3829153143136595,0.4127,-0.4687,choch_long_rr1.0_sl1.0_h12_b0.1_cd20,4,0,1,0,4,1,-18.308,0.2857
81,-29.5409,0.563363564878591,0.321,-0.3647,choch_long_rr2.0_sl1.0_h12_b0.1_cd0,4,0,1,0,4,1,-16.5165,0.3086
82,-29.8108,0.519265161447423,0.3171,-0.3635,choch_long_rr2.0_sl1.0_h6_b0.1_cd0,4,1,1,0,4,1,-14.7344,0.3049
137,-29.8289,0.7353167708697511,0.4015,-0.2177,bos_short_rr2.0_sl0.8_h6_b0.1_cd10,4,1,1,0,4,1,-11.444,0.3285
136,-29.876,0.7397923634336677,0.3897,-0.2197,bos_short_rr2.0_sl0.8_h12_b0.1_cd10,4,1,1,0,4,1,-12.3351,0.3309
63,-30.074,0.42202619466305363,0.2698,-0.4774,choch_long_rr2.0_sl1.0_h6_b0.1_cd20,4,1,1,0,4,1,-16.6284,0.2857
