trades,net_r,pf,win_rate,avg_r,tag,month
52,-9.4533,0.746172435088473,0.4423,-0.1818,bos_short_rr1.5_sl1.0_h6_b0.1_cd10,2026-06
3,0.6963,1.519937275985663,0.6667,0.2321,bos_short_rr1.5_sl1.0_h6_b0.1_cd10,2026-07
22,-2.2951,0.8423954842608361,0.5,-0.1043,bos_short_rr1.5_sl1.0_h6_b0.1_cd20,2026-04
42,-3.6165,0.8602815617249133,0.5,-0.0861,bos_short_rr1.5_sl1.0_h6_b0.1_cd20,2026-05
40,0.0776,1.0030660060529915,0.525,0.0019,bos_short_rr1.5_sl1.0_h6_b0.1_cd20,2026-06
2,-0.2873,0.7854689366786142,0.5,-0.1436,bos_short_rr1.5_sl1.0_h6_b0.1_cd20,2026-07
34,-10.3965,0.5920237333762376,0.4118,-0.3058,bos_short_rr1.5_sl1.0_h6_b0.1_cd5,2026-04
65,-20.574,0.5756170611264898,0.3846,-0.3165,bos_short_rr1.5_sl1.0_h6_b0.1_cd5,2026-05
66,-11.3553,0.7544030020222556,0.4545,-0.1721,bos_short_rr1.5_sl1.0_h6_b0.1_cd5,2026-06
3,0.7117,1.531436678614098,0.6667,0.2372,bos_short_rr1.5_sl1.0_h6_b0.1_cd5,2026-07
49,-16.7332,0.5533072434210176,0.4082,-0.3415,bos_short_rr1.5_sl1.0_h6_b0.2_cd0,2026-04
92,-28.3376,0.5924318804519011,0.3913,-0.308,bos_short_rr1.5_sl1.0_h6_b0.2_cd0,2026-05
93,-23.7676,0.6423655312092785,0.4194,-0.2556,bos_short_rr1.5_sl1.0_h6_b0.2_cd0,2026-06
5,1.759,2.31347072879331,0.8,0.3518,bos_short_rr1.5_sl1.0_h6_b0.2_cd0,2026-07
25,-8.1631,0.5749337387980816,0.4,-0.3265,bos_short_rr1.5_sl1.0_h6_b0.2_cd10,2026-04
53,-11.5889,0.687280076851672,0.434,-0.2187,bos_short_rr1.5_sl1.0_h6_b0.2_cd10,2026-05
48,-6.9895,0.7897515341114186,0.4583,-0.1456,bos_short_rr1.5_sl1.0_h6_b0.2_cd10,2026-06
3,0.6963,1.519937275985663,0.6667,0.2321,bos_short_rr1.5_sl1.0_h6_b0.2_cd10,2026-07
20,-1.6782,0.8654889670815866,0.5,-0.0839,bos_short_rr1.5_sl1.0_h6_b0.2_cd20,2026-04
42,-3.8042,0.8531984764933106,0.5,-0.0906,bos_short_rr1.5_sl1.0_h6_b0.2_cd20,2026-05
39,-3.7449,0.8583060595168277,0.4872,-0.096,bos_short_rr1.5_sl1.0_h6_b0.2_cd20,2026-06
2,-0.2873,0.7854689366786142,0.5,-0.1436,bos_short_rr1.5_sl1.0_h6_b0.2_cd20,2026-07
30,-9.5697,0.5673538586735386,0.4,-0.319,bos_short_rr1.5_sl1.0_h6_b0.2_cd5,2026-04
